cluster_id,cluster_size,recency_mean,frequency_mean,monetary_mean,reward_utilization_pct_mean,customer_engagement_score_mean,online_purchase_ratio_mean,spending_diversity_score_mean,category_diversity_mean,average_days_between_purchases_mean,weekend_shopping_ratio_mean,customer_ltv_mean,persona,persona_explanation
0,68,21.06,5.34,494737.41,39.81,65.35,0.7031,0.9159,3.1,32.54,0.3425,3918235.54,Digital Explorer,"Assigned as Digital Explorer because the cluster is above the population baseline on spend (0.76x), frequency (0.76x), reward utilization (0.97x), engagement (0.92x), online ratio (1.06x), diversity (0.91x), and CLV (0.73x), while also showing Low churn risk and Gold membership."
1,94,18.07,8.61,814101.36,42.26,76.21,0.6672,0.8721,3.61,19.34,0.3026,6754611.89,Luxury Lifestyle,"Assigned as Luxury Lifestyle because the cluster is above the population baseline on spend (1.25x), frequency (1.22x), reward utilization (1.03x), engagement (1.07x), online ratio (1.01x), diversity (1.05x), and CLV (1.26x), while also showing Low churn risk and Gold membership."
2,38,55.16,6.26,525404.55,40.02,67.78,0.5851,0.8739,3.55,18.87,0.199,4411983.13,Value Shopper,"Assigned as Value Shopper because the cluster is above the population baseline on spend (0.81x), frequency (0.89x), reward utilization (0.98x), engagement (0.96x), online ratio (0.88x), diversity (1.04x), and CLV (0.83x), while also showing Low churn risk and Silver membership."
